Transaction_ID,Date,Client_ID,Account_Number,Transaction_Type,Amount,Currency,Exchange_Rate,Amount_in_USD,Client_Sector,Client_Industry,Region,Country,City,Branch_Code,Transaction_Status,Employee_ID,Employee_Role,Risk_Score,Fraud_Flag,Approval_Status,Settlement_Date,Maturity_Date,Interest_Rate,Collateral_Type,Loan_Type,Purpose
11,2023-01-11,1466,7790593,Transfer,31073.77,USD,0.5613,17441.71,Retail,Manufacturing,South America,Japan,New York,294,Pending,304,Associate,0.193,0,Approved,2023-01-12,2024-01-11,0.05,None,Long-term,Debt Refinancing
12,2023-01-12,2238,5851188,Withdrawal,961530.83,USD,1.2146,1167875.35,SME,Technology,Asia,USA,New York,293,Completed,177,Analyst,0.457,1,Rejected,2023-01-13,2024-01-12,0.052,Property,Installment,Business Expansion
13,2023-01-13,1330,3721864,Deposit,668200.04,EUR,1.1234,750655.92,Corporate,Healthcare,Europe,Brazil,Tokyo,283,Pending,580,Manager,0.021,0,Approved,2023-01-14,2024-01-13,0.051,Property,Installment,Business Expansion
14,2023-01-14,2482,4947208,Withdrawal,933271.88,EUR,1.4706,1372469.63,SME,Healthcare,South America,Japan,Tokyo,346,Pending,485,Manager,0.156,1,Rejected,2023-01-15,2024-01-14,0.091,Bonds,Long-term,Working Capital
15,2023-01-15,3135,7984720,Deposit,266230.91,JPY,1.059,281938.53,Retail,Healthcare,Europe,USA,New York,972,Pending,293,Associate,0.781,1,Pending,2023-01-16,2024-01-15,0.018,None,Short-term,Business Expansion
16,2023-01-16,4444,8733308,Withdrawal,611852.15,EUR,0.8364,511753.14,Retail,Technology,North America,USA,Sao Paulo,971,Failed,202,Associate,0.762,0,Pending,2023-01-17,2024-01-16,0.08,Stocks,Installment,Working Capital
17,2023-01-17,4171,4875754,Transfer,678821.47,USD,1.019,691719.08,Corporate,Technology,Europe,Japan,Tokyo,423,Failed,716,Director,0.79,1,Approved,2023-01-18,2024-01-17,0.085,Bonds,Revolving,Business Expansion
18,2023-01-18,3919,3704999,Deposit,318232.15,GBP,1.4793,470760.82,Retail,Healthcare,Europe,Germany,Berlin,259,Pending,475,Manager,0.922,0,Pending,2023-01-19,2024-01-18,0.095,Property,Long-term,Debt Refinancing
19,2023-01-19,4735,6298217,Transfer,848261.13,EUR,1.1964,1014859.62,SME,Manufacturing,Europe,Japan,Berlin,805,Completed,386,Director,0.119,0,Pending,2023-01-20,2024-01-19,0.051,Stocks,Installment,Equipment Purchase
20,2023-01-20,1130,2324070,Transfer,947214.3,EUR,1.172,1110135.16,SME,Manufacturing,Europe,Japan,Berlin,721,Pending,935,Director,0.163,1,Rejected,2023-01-21,2024-01-20,0.055,Bonds,Long-term,Debt Refinancing
21,2023-01-21,2685,8364386,Deposit,884970.26,JPY,0.7407,655497.47,SME,Healthcare,Europe,Germany,Tokyo,165,Completed,581,Associate,0.334,0,Rejected,2023-01-22,2024-01-21,0.097,Property,Revolving,Equipment Purchase
22,2023-01-22,4380,6787749,Deposit,739327.91,JPY,1.2436,919428.19,SME,Technology,North America,USA,New York,353,Failed,822,Associate,0.915,1,Approved,2023-01-23,2024-01-22,0.051,Stocks,Short-term,Business Expansion
23,2023-01-23,1769,2661793,Payment,278187.22,EUR,1.2503,347817.48,SME,Healthcare,North America,Japan,New York,382,Pending,349,Director,0.775,1,Rejected,2023-01-24,2024-01-23,0.055,Bonds,Revolving,Debt Refinancing
24,2023-01-24,3391,7576651,Payment,282334.43,USD,0.8173,230751.93,Corporate,Technology,Europe,Germany,New York,159,Pending,904,Manager,0.324,0,Pending,2023-01-25,2024-01-24,0.04,Stocks,Short-term,Working Capital
25,2023-01-25,2515,7867218,Payment,963396.96,USD,0.9837,947693.59,SME,Healthcare,Europe,Brazil,Tokyo,217,Completed,300,Manager,0.088,1,Rejected,2023-01-26,2024-01-25,0.013,Property,Short-term,Equipment Purchase
26,2023-01-26,4485,8466027,Transfer,11274.21,GBP,0.7946,8958.49,Retail,Technology,South America,Brazil,Tokyo,522,Completed,635,Director,0.616,0,Pending,2023-01-27,2024-01-26,0.049,Bonds,Installment,Equipment Purchase
27,2023-01-27,3853,5987696,Transfer,716333.92,EUR,0.7587,543482.55,Retail,Finance,North America,Germany,Berlin,655,Pending,560,Analyst,0.257,0,Approved,2023-01-28,2024-01-27,0.069,Property,Short-term,Business Expansion
28,2023-01-28,3433,1428988,Payment,706539.92,JPY,0.5259,371569.34,Retail,Manufacturing,Asia,USA,Tokyo,821,Pending,399,Analyst,0.531,1,Pending,2023-01-29,2024-01-28,0.072,None,Short-term,Equipment Purchase
29,2023-01-29,2215,5084752,Transfer,623066.85,USD,0.7852,489232.09,Retail,Finance,North America,Germany,Berlin,135,Completed,577,Associate,0.942,0,Rejected,2023-01-30,2024-01-29,0.011,None,Short-term,Equipment Purchase
30,2023-01-30,1955,5374857,Transfer,990118.74,GBP,1.054,1043585.15,Corporate,Manufacturing,Asia,USA,Berlin,630,Failed,182,Manager,0.573,1,Rejected,2023-01-31,2024-01-30,0.082,Stocks,Long-term,Equipment Purchase
31,2023-01-31,3324,3977590,Deposit,312567.56,EUR,0.5016,156783.89,Retail,Technology,South America,Brazil,New York,190,Completed,908,Director,0.924,1,Rejected,2023-02-01,2024-01-31,0.054,None,Installment,Business Expansion
32,2023-02-01,2184,8599600,Deposit,340631.89,USD,0.7832,266782.9,Corporate,Finance,Europe,Japan,Tokyo,400,Pending,557,Director,0.393,0,Rejected,2023-02-02,2024-02-01,0.057,Property,Installment,Debt Refinancing
33,2023-02-02,1459,7610734,Transfer,79860.46,EUR,1.3814,110319.24,Retail,Manufacturing,South America,Germany,New York,823,Failed,790,Manager,0.633,1,Approved,2023-02-03,2024-02-02,0.097,Stocks,Short-term,Business Expansion
34,2023-02-03,4385,4297291,Payment,443355.34,EUR,1.0936,484853.4,Corporate,Healthcare,Europe,Brazil,New York,833,Failed,397,Associate,0.894,0,Pending,2023-02-04,2024-02-03,0.036,Bonds,Long-term,Working Capital
35,2023-02-04,1021,5894287,Withdrawal,261787.48,USD,1.1079,290034.35,Corporate,Technology,North America,Japan,Tokyo,316,Failed,463,Associate,0.588,0,Rejected,2023-02-05,2024-02-04,0.079,Property,Short-term,Equipment Purchase
36,2023-02-05,3300,8954647,Payment,344043.32,USD,0.9034,310808.74,Corporate,Technology,Europe,Brazil,Tokyo,834,Failed,817,Analyst,0.615,0,Pending,2023-02-06,2024-02-05,0.062,Bonds,Installment,Equipment Purchase
37,2023-02-06,1747,3490706,Withdrawal,834737.22,USD,1.1765,982068.34,Retail,Healthcare,Asia,Germany,Sao Paulo,197,Pending,139,Manager,0.716,0,Approved,2023-02-07,2024-02-06,0.073,Bonds,Installment,Debt Refinancing
38,2023-02-07,3904,8542535,Payment,935549.03,EUR,0.6899,645435.28,Corporate,Healthcare,Asia,Germany,Berlin,555,Failed,915,Manager,0.882,1,Pending,2023-02-08,2024-02-07,0.048,Bonds,Installment,Equipment Purchase
39,2023-02-08,4632,9047252,Deposit,186547.34,EUR,1.3187,245999.98,SME,Manufacturing,South America,Japan,Sao Paulo,630,Completed,724,Director,0.088,0,Rejected,2023-02-09,2024-02-08,0.035,Bonds,Installment,Debt Refinancing
40,2023-02-09,1474,6254224,Transfer,373136.42,GBP,0.6167,230113.23,SME,Technology,North America,Germany,Berlin,908,Completed,439,Manager,0.337,0,Pending,2023-02-10,2024-02-09,0.059,Property,Long-term,Equipment Purchase
41,2023-02-10,2082,7215140,Transfer,928701.93,JPY,1.156,1073579.43,Retail,Manufacturing,Asia,Brazil,Berlin,637,Completed,615,Analyst,0.398,0,Rejected,2023-02-11,2024-02-10,0.044,None,Revolving,Equipment Purchase
42,2023-02-11,3558,4737973,Deposit,62746.65,EUR,0.8411,52776.21,SME,Healthcare,South America,Japan,Berlin,127,Pending,207,Manager,0.91,1,Rejected,2023-02-12,2024-02-11,0.03,Property,Revolving,Business Expansion
43,2023-02-12,4753,3202575,Withdrawal,93268.17,JPY,1.2475,116352.04,SME,Technology,North America,Japan,New York,675,Failed,415,Director,0.956,1,Approved,2023-02-13,2024-02-12,0.086,None,Long-term,Business Expansion
44,2023-02-13,3047,7611653,Withdrawal,163628.2,USD,1.0498,171776.88,SME,Healthcare,North America,Brazil,New York,423,Completed,213,Analyst,0.12,0,Approved,2023-02-14,2024-02-13,0.053,Bonds,Short-term,Working Capital
45,2023-02-14,4547,1464071,Withdrawal,595617.62,EUR,0.9524,567266.22,Retail,Manufacturing,South America,USA,Tokyo,322,Completed,266,Director,0.119,1,Pending,2023-02-15,2024-02-14,0.086,None,Installment,Debt Refinancing
46,2023-02-15,3747,5381137,Deposit,151321.8,GBP,0.6694,101294.81,Retail,Manufacturing,Asia,Japan,Berlin,179,Completed,360,Manager,0.935,1,Pending,2023-02-16,2024-02-15,0.053,Bonds,Installment,Working Capital
47,2023-02-16,1975,5912216,Withdrawal,968108.31,GBP,1.1368,1100545.53,SME,Manufacturing,Asia,USA,Berlin,662,Failed,717,Associate,0.296,0,Rejected,2023-02-17,2024-02-16,0.06,Stocks,Installment,Business Expansion
48,2023-02-17,2806,8597626,Deposit,447267.81,JPY,1.4748,659630.57,Retail,Technology,South America,Brazil,Berlin,557,Completed,323,Manager,0.242,0,Rejected,2023-02-18,2024-02-17,0.1,Bonds,Long-term,Debt Refinancing
49,2023-02-18,1189,4498472,Payment,502016.44,USD,1.3256,665472.99,Corporate,Healthcare,Asia,Brazil,New York,713,Failed,361,Manager,0.036,1,Rejected,2023-02-19,2024-02-18,0.096,None,Long-term,Business Expansion
50,2023-02-19,4005,9369689,Payment,247411.96,JPY,0.56,138550.7,SME,Healthcare,South America,Japan,Tokyo,275,Failed,350,Director,0.276,1,Rejected,2023-02-20,2024-02-19,0.034,Stocks,Installment,Debt Refinancing
51,2023-02-20,3734,2564718,Deposit,471489.29,USD,0.8762,413118.92,Retail,Manufacturing,Asia,Germany,New York,621,Failed,625,Associate,0.694,1,Approved,2023-02-21,2024-02-20,0.088,Stocks,Installment,Equipment Purchase
52,2023-02-21,4005,6139743,Transfer,662251.72,GBP,1.4256,944106.05,Retail,Manufacturing,Asia,Japan,Sao Paulo,848,Pending,809,Manager,0.426,0,Rejected,2023-02-22,2024-02-21,0.045,Bonds,Short-term,Working Capital
53,2023-02-22,1562,4813270,Payment,751425.96,JPY,1.003,753680.24,SME,Manufacturing,South America,Germany,Sao Paulo,556,Pending,225,Analyst,0.517,1,Approved,2023-02-23,2024-02-22,0.016,Property,Revolving,Working Capital
54,2023-02-23,2899,5806425,Withdrawal,754114.21,GBP,1.1621,876356.12,Retail,Manufacturing,South America,USA,Sao Paulo,522,Failed,305,Analyst,0.917,1,Pending,2023-02-24,2024-02-23,0.062,None,Long-term,Debt Refinancing
55,2023-02-24,4638,7609876,Deposit,578313.22,GBP,1.4126,816925.25,SME,Finance,Asia,Germany,Tokyo,199,Failed,239,Director,0.115,1,Pending,2023-02-25,2024-02-24,0.098,Stocks,Revolving,Working Capital
56,2023-02-25,2267,3378837,Withdrawal,904455.42,USD,1.3738,1242540.86,Retail,Finance,South America,Japan,Sao Paulo,989,Pending,161,Director,0.071,1,Approved,2023-02-26,2024-02-25,0.098,Property,Installment,Business Expansion
57,2023-02-26,3879,7123769,Withdrawal,817590.44,JPY,1.0018,819062.1,Corporate,Finance,Asia,Germany,Tokyo,839,Pending,382,Associate,0.852,0,Rejected,2023-02-27,2024-02-26,0.021,Bonds,Revolving,Working Capital
58,2023-02-27,2528,2524102,Transfer,757291.07,JPY,0.9376,710036.11,SME,Manufacturing,Europe,Brazil,New York,502,Failed,153,Director,0.775,0,Pending,2023-02-28,2024-02-27,0.079,Bonds,Revolving,Debt Refinancing
59,2023-02-28,4202,3383366,Withdrawal,56549.92,GBP,0.8397,47484.97,Corporate,Manufacturing,North America,USA,New York,675,Pending,445,Associate,0.264,0,Approved,2023-03-01,2024-02-28,0.082,Bonds,Long-term,Working Capital
60,2023-03-01,4556,3035848,Transfer,7871.08,GBP,1.219,9594.85,SME,Healthcare,North America,Brazil,Tokyo,479,Completed,623,Manager,0.324,1,Pending,2023-03-02,2024-02-29,0.043,Bonds,Long-term,Working Capital
61,2023-03-02,4890,6122930,Payment,213234.83,USD,0.787,167815.81,Retail,Technology,Asia,Brazil,New York,630,Failed,235,Analyst,0.31,0,Rejected,2023-03-03,2024-03-01,0.069,None,Short-term,Business Expansion
62,2023-03-03,1646,9593223,Deposit,663860.07,EUR,0.7499,497828.67,Corporate,Healthcare,North America,Brazil,New York,431,Failed,429,Analyst,0.648,1,Approved,2023-03-04,2024-03-02,0.054,Stocks,Installment,Equipment Purchase
63,2023-03-04,3068,7691409,Withdrawal,411786.29,EUR,0.8562,352571.42,Retail,Finance,Asia,Brazil,Tokyo,417,Pending,243,Analyst,0.061,1,Pending,2023-03-05,2024-03-03,0.031,None,Short-term,Business Expansion
64,2023-03-05,3888,1838003,Deposit,403003.85,GBP,0.6772,272914.21,SME,Healthcare,South America,Germany,Sao Paulo,752,Completed,535,Director,0.489,0,Rejected,2023-03-06,2024-03-04,0.079,Stocks,Long-term,Working Capital
65,2023-03-06,3214,4433382,Withdrawal,884702.3,EUR,1.1951,1057307.72,SME,Manufacturing,Europe,Brazil,Tokyo,636,Pending,381,Director,0.134,1,Approved,2023-03-07,2024-03-05,0.034,Property,Short-term,Working Capital
66,2023-03-07,2297,9670178,Deposit,895667.29,EUR,1.1162,999743.83,SME,Finance,North America,Germany,Berlin,839,Completed,235,Manager,0.82,1,Approved,2023-03-08,2024-03-06,0.041,Property,Revolving,Equipment Purchase
67,2023-03-08,3435,4395049,Withdrawal,909266.09,EUR,0.9829,893717.64,SME,Finance,North America,Brazil,New York,188,Completed,588,Director,0.381,1,Approved,2023-03-09,2024-03-07,0.027,Stocks,Revolving,Equipment Purchase
68,2023-03-09,1600,1066150,Withdrawal,314564.2,EUR,0.8903,280056.51,SME,Technology,South America,Japan,Tokyo,703,Failed,912,Associate,0.528,0,Approved,2023-03-10,2024-03-08,0.075,Bonds,Long-term,Business Expansion
69,2023-03-10,3363,8951632,Withdrawal,691364.76,GBP,1.4091,974202.08,Corporate,Technology,Europe,Brazil,New York,610,Completed,832,Analyst,0.029,0,Pending,2023-03-11,2024-03-09,0.051,Property,Revolving,Equipment Purchase
70,2023-03-11,3061,8429645,Withdrawal,272361.55,EUR,0.5291,144106.5,SME,Finance,Europe,Japan,Sao Paulo,141,Failed,951,Manager,0.058,0,Approved,2023-03-12,2024-03-10,0.05,None,Installment,Business Expansion
71,2023-03-12,1241,7081687,Withdrawal,191419.22,EUR,1.2691,242930.13,Retail,Finance,Europe,Germany,New York,984,Completed,820,Associate,0.675,0,Approved,2023-03-13,2024-03-11,0.064,Stocks,Long-term,Debt Refinancing
72,2023-03-13,3041,9948331,Withdrawal,185447.82,USD,1.4019,259979.3,Corporate,Healthcare,South America,USA,Tokyo,906,Failed,500,Associate,0.767,0,Approved,2023-03-14,2024-03-12,0.024,Property,Installment,Working Capital
73,2023-03-14,3824,3547500,Withdrawal,342765.51,GBP,0.9464,324393.28,Retail,Finance,North America,Germany,Sao Paulo,488,Completed,970,Director,0.71,0,Approved,2023-03-15,2024-03-13,0.091,Stocks,Long-term,Equipment Purchase
74,2023-03-15,4417,5193060,Withdrawal,430527.66,JPY,1.0507,452355.41,SME,Manufacturing,North America,USA,Sao Paulo,180,Pending,991,Director,0.737,0,Approved,2023-03-16,2024-03-14,0.052,Bonds,Long-term,Debt Refinancing
75,2023-03-16,3612,1134055,Withdrawal,831118.22,JPY,1.4445,1200550.27,Retail,Healthcare,Europe,USA,Sao Paulo,501,Completed,548,Analyst,0.105,0,Rejected,2023-03-17,2024-03-15,0.043,Stocks,Revolving,Debt Refinancing
76,2023-03-17,3945,2841648,Deposit,120771.2,USD,0.7123,86025.33,Corporate,Manufacturing,South America,Brazil,Berlin,206,Pending,734,Manager,0.693,0,Pending,2023-03-18,2024-03-16,0.021,Property,Long-term,Business Expansion
77,2023-03-18,2363,8132508,Transfer,735190.92,USD,1.0201,749968.26,Corporate,Manufacturing,South America,USA,Tokyo,210,Completed,727,Associate,0.182,0,Rejected,2023-03-19,2024-03-17,0.025,Stocks,Long-term,Business Expansion
78,2023-03-19,3139,7437845,Withdrawal,531923.46,GBP,0.9747,518465.8,Corporate,Manufacturing,South America,Germany,Tokyo,376,Completed,768,Director,0.098,1,Pending,2023-03-20,2024-03-18,0.093,Property,Short-term,Equipment Purchase
79,2023-03-20,2390,4828433,Transfer,288657.4,JPY,0.7584,218917.77,Retail,Finance,Europe,Brazil,Sao Paulo,313,Failed,369,Director,0.757,0,Approved,2023-03-21,2024-03-19,0.051,Property,Revolving,Business Expansion
80,2023-03-21,4003,3735264,Withdrawal,493326.76,EUR,1.3186,650500.67,Corporate,Technology,South America,USA,New York,842,Completed,116,Manager,0.889,1,Pending,2023-03-22,2024-03-20,0.075,Property,Installment,Debt Refinancing
81,2023-03-22,2478,5448748,Withdrawal,300642.13,USD,1.3996,420778.73,Retail,Technology,Europe,Germany,Sao Paulo,917,Completed,368,Manager,0.717,1,Approved,2023-03-23,2024-03-21,0.017,None,Long-term,Debt Refinancing
82,2023-03-23,4499,8152747,Deposit,596485.87,JPY,1.2819,764635.24,SME,Manufacturing,Europe,USA,Berlin,605,Completed,960,Director,0.806,0,Approved,2023-03-24,2024-03-22,0.068,Bonds,Installment,Working Capital
83,2023-03-24,3556,5137270,Payment,434410.08,GBP,0.6954,302088.77,SME,Finance,Europe,USA,Sao Paulo,220,Pending,581,Director,0.991,0,Rejected,2023-03-25,2024-03-23,0.093,Bonds,Short-term,Debt Refinancing
84,2023-03-25,1775,5317922,Payment,165241.12,EUR,0.5867,96946.97,Retail,Healthcare,Asia,Brazil,Tokyo,233,Failed,318,Analyst,0.135,1,Rejected,2023-03-26,2024-03-24,0.037,Stocks,Long-term,Equipment Purchase
85,2023-03-26,1034,9847905,Deposit,117466.49,GBP,1.1054,129847.46,Corporate,Manufacturing,Europe,Brazil,Sao Paulo,917,Failed,418,Manager,0.965,0,Rejected,2023-03-27,2024-03-25,0.062,Stocks,Installment,Working Capital
86,2023-03-27,3253,8465373,Transfer,547148.99,USD,0.5571,304816.7,Retail,Healthcare,South America,Germany,New York,819,Completed,337,Associate,0.601,0,Pending,2023-03-28,2024-03-26,0.095,Property,Revolving,Business Expansion
87,2023-03-28,4152,2020154,Payment,902510.62,JPY,1.1728,1058464.46,Retail,Healthcare,Asia,Brazil,Tokyo,470,Completed,644,Director,0.813,1,Pending,2023-03-29,2024-03-27,0.075,Bonds,Short-term,Working Capital
88,2023-03-29,2955,9070924,Deposit,344613.73,JPY,1.0304,355089.99,Retail,Finance,North America,Brazil,New York,356,Pending,384,Director,0.65,0,Rejected,2023-03-30,2024-03-28,0.016,Stocks,Short-term,Debt Refinancing
89,2023-03-30,2585,7843532,Deposit,733267.11,JPY,1.1628,852643.0,SME,Finance,North America,Japan,Sao Paulo,796,Completed,136,Director,0.57,0,Rejected,2023-03-31,2024-03-29,0.044,Stocks,Installment,Equipment Purchase
90,2023-03-31,4943,5945169,Payment,659002.69,JPY,1.0902,718444.73,Retail,Technology,South America,Japan,Tokyo,897,Failed,202,Director,0.704,1,Approved,2023-04-01,2024-03-30,0.018,Bonds,Long-term,Business Expansion
91,2023-04-01,4459,7733215,Transfer,931623.36,EUR,0.9227,859608.87,SME,Technology,South America,Germany,Berlin,974,Failed,822,Analyst,0.32,1,Pending,2023-04-02,2024-03-31,0.088,Property,Long-term,Business Expansion
92,2023-04-02,4073,9195810,Deposit,821160.04,EUR,0.7009,575551.07,Retail,Finance,South America,Brazil,Tokyo,279,Pending,529,Manager,0.924,1,Approved,2023-04-03,2024-04-01,0.066,Stocks,Revolving,Debt Refinancing
93,2023-04-03,2021,8904294,Withdrawal,567038.65,GBP,0.8057,456863.04,SME,Manufacturing,South America,Germany,New York,147,Pending,891,Director,0.115,0,Pending,2023-04-04,2024-04-02,0.096,Property,Revolving,Equipment Purchase
94,2023-04-04,4461,8185197,Transfer,657373.47,EUR,1.0245,673479.12,Retail,Technology,Asia,Japan,Tokyo,698,Failed,753,Manager,0.318,1,Rejected,2023-04-05,2024-04-03,0.012,Bonds,Long-term,Debt Refinancing
95,2023-04-05,3613,9171548,Transfer,898488.08,USD,1.1519,1034968.42,Retail,Healthcare,South America,Japan,Berlin,996,Pending,338,Associate,0.031,0,Pending,2023-04-06,2024-04-04,0.048,Bonds,Short-term,Debt Refinancing
96,2023-04-06,2129,7714301,Payment,400119.27,USD,1.2795,511952.61,Corporate,Manufacturing,Europe,Japan,Berlin,118,Completed,840,Associate,0.271,0,Pending,2023-04-07,2024-04-05,0.019,Stocks,Revolving,Equipment Purchase
97,2023-04-07,4843,8969693,Payment,327467.91,JPY,1.2672,414967.34,Corporate,Healthcare,North America,Germany,Berlin,145,Completed,744,Associate,0.218,0,Approved,2023-04-08,2024-04-06,0.042,Stocks,Revolving,Debt Refinancing
98,2023-04-08,4893,2859582,Withdrawal,11800.27,USD,1.4727,17378.26,Retail,Finance,South America,Brazil,Berlin,550,Pending,224,Associate,0.05,1,Rejected,2023-04-09,2024-04-07,0.025,Bonds,Short-term,Equipment Purchase
99,2023-04-09,2500,8744064,Deposit,826724.52,GBP,0.7858,649640.13,Retail,Healthcare,Europe,USA,New York,997,Failed,664,Manager,0.492,0,Rejected,2023-04-10,2024-04-08,0.04,Property,Long-term,Equipment Purchase
100,2023-04-10,1702,3129885,Payment,801179.72,EUR,0.5711,457553.74,Retail,Manufacturing,South America,Brazil,Tokyo,155,Pending,699,Associate,0.469,0,Rejected,2023-04-11,2024-04-09,0.084,Property,Installment,Debt Refinancing
101,2023-04-11,3449,5720642,Payment,105350.06,EUR,0.8457,89094.55,Retail,Finance,Europe,Germany,Sao Paulo,840,Failed,709,Associate,0.078,1,Approved,2023-04-12,2024-04-10,0.024,None,Revolving,Debt Refinancing
102,2023-04-12,3777,1549239,Transfer,577280.52,EUR,1.2433,717732.87,Corporate,Manufacturing,Asia,Japan,Berlin,756,Pending,981,Director,0.262,1,Approved,2023-04-13,2024-04-11,0.053,Bonds,Short-term,Working Capital
103,2023-04-13,2579,9945309,Payment,464517.72,USD,0.9381,435764.07,SME,Healthcare,North America,USA,Sao Paulo,191,Pending,706,Director,0.953,0,Approved,2023-04-14,2024-04-12,0.093,Stocks,Revolving,Business Expansion
104,2023-04-14,1161,6408753,Payment,119590.39,EUR,1.3178,157596.22,Retail,Manufacturing,North America,Germany,Sao Paulo,181,Pending,287,Director,0.111,1,Pending,2023-04-15,2024-04-13,0.1,Bonds,Short-term,Business Expansion
105,2023-04-15,1201,4047569,Payment,980587.66,JPY,1.0493,1028930.63,Corporate,Finance,Asia,Japan,Tokyo,836,Completed,987,Analyst,0.305,0,Pending,2023-04-16,2024-04-14,0.033,Stocks,Revolving,Equipment Purchase
106,2023-04-16,2981,1785332,Payment,215481.19,JPY,1.4298,308095.01,Retail,Healthcare,Europe,Germany,Sao Paulo,178,Completed,355,Director,0.036,0,Approved,2023-04-17,2024-04-15,0.094,Property,Long-term,Working Capital
107,2023-04-17,1995,9555080,Transfer,68166.95,JPY,1.4479,98698.93,Retail,Healthcare,South America,USA,Sao Paulo,761,Failed,684,Associate,0.149,0,Approved,2023-04-18,2024-04-16,0.034,Stocks,Short-term,Equipment Purchase
108,2023-04-18,3317,1397710,Withdrawal,595252.53,USD,0.5693,338877.27,SME,Technology,Europe,Japan,New York,972,Pending,973,Manager,0.699,1,Rejected,2023-04-19,2024-04-17,0.047,None,Installment,Working Capital
109,2023-04-19,4934,7503216,Withdrawal,739127.81,EUR,0.9564,706901.84,Retail,Technology,North America,Brazil,Sao Paulo,382,Completed,893,Associate,0.367,1,Pending,2023-04-20,2024-04-18,0.089,Property,Installment,Equipment Purchase
110,2023-04-20,1815,5317048,Deposit,33411.0,USD,1.1097,37076.19,Retail,Manufacturing,Asia,Germany,Tokyo,410,Pending,629,Manager,0.452,0,Pending,2023-04-21,2024-04-19,0.081,None,Revolving,Business Expansion
111,2023-04-21,4342,4188729,Payment,659058.92,EUR,0.7559,498182.64,SME,Technology,Asia,USA,Sao Paulo,259,Failed,775,Associate,0.157,0,Rejected,2023-04-22,2024-04-20,0.087,Bonds,Installment,Working Capital
112,2023-04-22,1455,5785956,Transfer,532759.58,GBP,0.9071,483266.22,SME,Technology,Europe,Brazil,Tokyo,415,Completed,491,Analyst,0.682,0,Rejected,2023-04-23,2024-04-21,0.082,Stocks,Revolving,Debt Refinancing
113,2023-04-23,4533,6105724,Deposit,104161.74,GBP,1.1777,122671.28,SME,Technology,Europe,USA,Berlin,976,Failed,757,Director,0.752,0,Rejected,2023-04-24,2024-04-22,0.031,Property,Short-term,Debt Refinancing
114,2023-04-24,4798,6025764,Deposit,173351.35,USD,0.7267,125974.43,SME,Technology,Asia,Germany,Sao Paulo,767,Completed,567,Associate,0.181,1,Approved,2023-04-25,2024-04-23,0.06,Stocks,Short-term,Business Expansion
